interview__key,sdd_hhid,sdd_indid,hh_b01,hh_b02,hh_b03_1,hh_b03_2,hh_b04,hh_b05,hh_b06,hh_b07,hh_b08,hh_b09_1,hh_b0a,hh_b0b,hh_b10,hh_b11,hh_b12_1,hh_b12_2,hh_b13,hh_b14,hh_b15_1,hh_b15_2,hh_b16,hh_b17,hh_b18,hh_b19,hh_b20,hh_b21_1,hh_b21_2,hh_b21_3,hh_b21_4,hh_b22,hh_b23_1,hh_b23_2,hh_b23_3,hh_b23_4,hh_b24,hh_b25,hh_b26,hh_b27_2,hh_b27_3,hh_b28,hh_b29_2,hh_b29_3,y4_hhid
82-24-69-15,0083-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,29,SON/DAUGHTER,3,YES,30,YES,NO,7,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,7,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0083-001
82-24-69-15,0083-001-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,27,SON/DAUGHTER,4,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,8,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0083-001
82-24-69-15,0083-001-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,25,SON/DAUGHTER,5,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0083-001
82-24-69-15,0083-001-001,6,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,23,SON/DAUGHTER,6,NO,0,YES,NO,2,5,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0083-001
82-24-69-15,0083-001-001,7,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,20,OTHER NON-RELATIVE (SPECIFY),NOT PREVIOUSLY PRESENT,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,8,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,3,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0083-001
82-24-69-15,0083-001-001,8,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,25,OTHER NON-RELATIVE (SPECIFY),NOT PREVIOUSLY PRESENT,YES,30,YES,NO,4,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,TRADITIONAL,,,,YES,4,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0083-001
82-24-69-15,0083-001-001,9,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,4,GRANDCHILD,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,4,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,4,,,MOTHER IS A MEMBER OF HOUSEHOLD,8,,,NO,,,,,,,,,,,,,,,,,,,,0083-001
71-57-99-29,0084-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,48,HEAD,1,YES,30,YES,YES,,0,EMPLOYED (NOT AG): WITHOUT EMPLOYEES,FATHER IS A MEMBER OF HOUSEHOLD,3,,,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,YES,POLYGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,RELIGIOUS,,,YES,2,,,,YES,1,25,TANGA,LUSHOTO,BETTER SERVICES/HOUSING,TANGA,LUSHOTO,0084-001
71-57-99-29,0084-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,31,SPOUSE,2,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,MULITPLE PREVIOUS MARRIAGES,RELIGIOUS,,,,YES,1,,,,NO,,10,TANGA,MUHEZA,MARRIAGE,TANGA,MUHEZA,0084-001
71-57-99-29,0084-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,82,FATHER/MOTHER,3,NO,22,YES,NO,1,0,AGRICULTURE/LIVESTOCK,DEAD,,67,NO SCHOOL,DEAD,,68,COMPLETED PRIMARY,YES,SEPARATED,,,,,,,,,,,,,6,TANGA,LUSHOTO,BETTER SERVICES/HOUSING,TANGA,LUSHOTO,0084-001
71-57-99-29,0084-001-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,11,STEP SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,2,0,STUDENT,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED SECONDARY,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0084-001
71-57-99-29,0084-001-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,7,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,2,3,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0084-001
71-57-99-29,0084-001-001,6,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,2,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,2,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0084-001
74-56-02-42,0084-002-001,1,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,53,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,13,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0084-002
74-56-02-42,0084-002-001,3,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,25,SON/DAUGHTER,3,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,1,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0084-002
74-56-02-42,0084-002-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,23,OTHER RELATIVE (SPECIFY),4,YES,30,YES,NO,1,0,AGRICULTURE/LIVESTOCK,DEAD,,20,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0084-002
74-56-02-42,0084-002-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,21,OTHER RELATIVE (SPECIFY),5,YES,30,YES,NO,3,0,AGRICULTURE/LIVESTOCK,DEAD,,18,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0084-002
74-56-02-42,0084-002-001,6,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,49,SISTER/BROTHER,6,YES,30,YES,NO,1,0,AGRICULTURE/LIVESTOCK,DEAD,,8,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0084-002
74-56-02-42,0084-002-001,7,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,0,GRANDCHILD,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,3,0,TOO YOUNG,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,1,,,NO,,,,,,,,,,,,,,,,,,,,0084-002
74-56-02-42,0084-002-001,8,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,46,OTHER RELATIVE (SPECIFY),NOT PREVIOUSLY PRESENT,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,39,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0084-002
70-36-26-23,0085-001-001,1,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,79,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,65,NO SCHOOL,DEAD,,4,NO SCHOOL,YES,WIDOW(ER),,,,,,,,,,,,,44,TANGA,MUHEZA,LAND/PLOT,TANGA,LUSHOTO,0085-001
12-34-17-02,0085-002-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,28,HEAD,1,YES,30,YES,YES,,0,EMPLOYED: PRIVATE SECTOR,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,2,TANGA,TANGA URBAN,BETTER SERVICES/HOUSING,TANGA,MUHEZA,0085-002
12-34-17-02,0085-002-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,26,SPOUSE,2,YES,30,YES,YES,,0,UNPAID FAMILY WORK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,2,TANGA,TANGA URBAN,BETTER SERVICES/HOUSING,TANGA,MUHEZA,0085-002
12-34-17-02,0085-002-001,3,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,4,SON/DAUGHTER,3,YES,30,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0085-002
05-51-26-77,0085-003-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,35,HEAD,1,YES,31,YES,YES,,0,EMPLOYED (NOT AG): WITHOUT EMPLOYEES,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,DEAD,,20,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,3,TANGA,TANGA URBAN,BETTER SERVICES/HOUSING,TANGA,LUSHOTO,0085-003
05-51-26-77,0085-003-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,22,SPOUSE,2,YES,28,YES,YES,,0,UNPAID FAMILY WORK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,7,TANGA,LUSHOTO,OTHER FAMILY REASONS,TANGA,LUSHOTO,0085-003
05-51-26-77,0085-003-001,3,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,4,SON/DAUGHTER,3,YES,28,YES,NO,2,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0085-003
05-51-26-77,0085-003-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,1,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,28,YES,NO,2,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0085-003
08-61-34-21,0086-001-001,1,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,39,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,21,SOME PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,YES,DIVORCED,,,,,,,,,,,,,10,TANGA,MUHEZA,BETTER SERVICES/HOUSING,TANGA,MUHEZA,0086-001
08-61-34-21,0086-001-001,2,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,11,SON/DAUGHTER,2,YES,30,YES,YES,,0,STUDENT,DEAD,,5,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,1,,,NO,,,,,,,,,,,,,,,,,,,,0086-001
08-61-34-21,0086-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,16,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,30,YES,YES,,6,STUDENT,DEAD,,12,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,1,,,YES,NEVER MARRIED,,,,,,,,,,,,,0,TANGA,MUHEZA,OTHER FAMILY REASONS,TANGA,MUHEZA,0086-001
08-61-34-21,0086-001-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,15,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,NO,0,YES,NO,1,4,STUDENT,DEAD,,9,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,1,,,YES,NEVER MARRIED,,,,,,,,,,,,,2,TANGA,MUHEZA,OTHER FAMILY REASONS,TANGA,MUHEZA,0086-001
07-11-78-55,0087-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,42,HEAD,1,YES,31,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,25,SOME PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,YES,MONOGAMOUS MARRIED,PREVIOUSLY DIVORCED,RELIGIOUS,,,,YES,2,,,,NO,,5,DAR ES SALAAM,KIGAMBONI,LAND/PLOT,TANGA,MUHEZA,0087-001
07-11-78-55,0087-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,35,SPOUSE,NOT PREVIOUSLY PRESENT,YES,31,YES,YES,,0,EMPLOYED (NOT AG): WITHOUT EMPLOYEES,DEAD,,19,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,YES,MONOGAMOUS MARRIED,PREVIOUSLY DIVORCED,RELIGIOUS,,,,YES,1,,,,NO,,5,DAR ES SALAAM,TEMEKE,OTHER FAMILY REASONS,LINDI,KILWA,0087-001
07-11-78-55,0087-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,8,STEP SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,31,YES,NO,1,0,STUDENT,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0087-001
07-11-78-55,0087-001-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,2,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,31,YES,NO,2,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0087-001
26-78-44-09,0087-001-002,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,45,HEAD,2,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,5,,,YES,DIVORCED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0087-001
26-78-44-09,0087-001-002,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,14,SON/DAUGHTER,3,YES,30,YES,YES,,0,STUDENT,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0087-001
26-78-44-09,0087-001-002,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,20,SISTER/BROTHER,4,YES,30,YES,NO,2,0,STUDENT,DEAD,,14,NO SCHOOL,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,6,TANGA,MUHEZA,OTHER FAMILY REASONS,TANGA,MUHEZA,0087-001
26-78-44-09,0087-001-002,5,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,70,FATHER/MOTHER,NOT PREVIOUSLY PRESENT,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,45,NO SCHOOL,DEAD,,46,NO SCHOOL,YES,DIVORCED,,,,,,,,,,,,,35,TANGA,KOROGWE RURAL,OTHER FAMILY REASONS,TANGA,KOROGWE RURAL,0087-001
74-12-78-76,0088-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,55,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,20,SOME PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,SOME PRIMARY,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,2,,,,NO,,42,TANGA,MUHEZA,OTHER FAMILY REASONS,KILIMANJARO,SAME,0088-001
74-12-78-76,0088-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,52,SPOUSE,2,YES,3,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,6,DOES NOT KNOW,LIVING OUT OF THE HOUSEHOLD,,,NO SCHOOL,YES,MONOGAMOUS MARRIED,IN FIRST MARRIAGE,RELIGIOUS,,,,YES,1,,,,NO,,33,TANGA,MUHEZA,MARRIAGE,TANGA,MUHEZA,0088-001
74-12-78-76,0088-001-001,3,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,18,SON/DAUGHTER,3,YES,30,YES,NO,2,0,UNPAID FAMILY WORK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0088-001
74-12-78-76,0088-001-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,9,SON/DAUGHTER,4,YES,30,YES,NO,1,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0088-001
74-12-78-76,0088-001-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,5,GRANDCHILD,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,1,0,STUDENT,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,SOME SECONDARY,NO,,,,,,,,,,,,,,,,,,,,0088-001
74-12-78-76,0088-001-001,6,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,3,GRANDCHILD,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,1,0,TOO YOUNG,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED SECONDARY,NO,,,,,,,,,,,,,,,,,,,,0088-001
47-53-89-65,0089-001-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,54,HEAD,1,YES,31,YES,YES,,0,EMPLOYED: GOVERMENT,DEAD,,35,COMPLETED PRIMARY,MOTHER IS A MEMBER OF HOUSEHOLD,4,,,YES,MONOGAMOUS MARRIED,PREVIOUSLY WIDOWED,RELIGIOUS,,,,YES,4,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0089-001
47-53-89-65,0089-001-001,2,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,45,SPOUSE,2,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,10,DOES NOT KNOW,DEAD,,24,NO SCHOOL,YES,MONOGAMOUS MARRIED,PREVIOUSLY WIDOWED,RELIGIOUS,,,,YES,1,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0089-001
47-53-89-65,0089-001-001,3,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,19,SON/DAUGHTER,3,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,DEAD,,3,DON'T KNOW,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0089-001
47-53-89-65,0089-001-001,4,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,78,FATHER/MOTHER,4,YES,30,YES,NO,2,0,AGRICULTURE/LIVESTOCK,DEAD,,24,COMPLETED PRIMARY,DEAD,,36,COMPLETED PRIMARY,YES,WIDOW(ER),,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0089-001
47-53-89-65,0089-001-001,5,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,24,SON/DAUGHTER,5,NO,7,YES,NO,2,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0089-001
47-53-89-65,0089-001-001,6,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,20,STEP SON/DAUGHTER,6,YES,30,YES,NO,2,0,AGRICULTURE/LIVESTOCK,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0089-001
47-53-89-65,0089-001-001,7,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,14,STEP SON/DAUGHTER,7,YES,30,YES,YES,,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,YES,NEVER MARRIED,,,,,,,,,,,,,LIVED HERE SINCE BIRTH,,,,,,0089-001
47-53-89-65,0089-001-001,8,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,9,SON/DAUGHTER,8,YES,30,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0089-001
47-53-89-65,0089-001-001,9,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,6,SON/DAUGHTER,9,YES,30,YES,NO,2,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,2,,,NO,,,,,,,,,,,,,,,,,,,,0089-001
47-53-89-65,0089-001-001,10,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,11,GRANDCHILD,10,YES,30,YES,NO,2,0,STUDENT,LIVING OUT OF THE HOUSEHOLD,,,DOES NOT KNOW,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,NO,,,,,,,,,,,,,,,,,,,,0089-001
67-17-25-56,0089-002-001,1,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,33,HEAD,1,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,MONOGAMOUS MARRIED,PREVIOUSLY DIVORCED,TRADITIONAL,,,,YES,5,,,,NO,,LIVED HERE SINCE BIRTH,,,,,,0089-002
67-17-25-56,0089-002-001,4,**CONFIDENTIAL**,MALE,**CONFIDENTIAL**,**CONFIDENTIAL**,5,SON/DAUGHTER,4,YES,30,YES,NO,1,0,STUDENT,FATHER IS A MEMBER OF HOUSEHOLD,1,,,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,NO,,,,,,,,,,,,,,,,,,,,0089-002
67-17-25-56,0089-002-001,5,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,24,SPOUSE,NOT PREVIOUSLY PRESENT,YES,30,YES,YES,,0,AGRICULTURE/LIVESTOCK,DEAD,,5,DOES NOT KNOW,LIVING OUT OF THE HOUSEHOLD,,,COMPLETED PRIMARY,YES,NEVER MARRIED,,,,,,,,,,,,,1,TANGA,MUHEZA,MARRIAGE,TANGA,MUHEZA,0089-002
67-17-25-56,0089-002-001,6,**CONFIDENTIAL**,FEMALE,**CONFIDENTIAL**,**CONFIDENTIAL**,0,SON/DAUGHTER,NOT PREVIOUSLY PRESENT,YES,30,YES,NO,5,0,TOO YOUNG,FATHER IS A MEMBER OF HOUSEHOLD,1,,,MOTHER IS A MEMBER OF HOUSEHOLD,5,,,NO,,,,,,,,,,,,,,,,,,,,0089-002
